partai,tingkat,kode_wilayah,nama_unit,pengurus,kader,target_unit,terbentuk,ketua,kontak
DEMOKRAT,DPD II / DPC,,DPC DEMOKRAT Kabupaten,68,957,1,ya,,
DEMOKRAT,PAC / Kecamatan,3404010,PAC DEMOKRAT Moyudan,9,233,1,tidak,,
DEMOKRAT,Ranting / Desa,3404010,Ranting DEMOKRAT Moyudan,100,741,19,10,,
DEMOKRAT,Anak Ranting / RT,3404010,Anak ranting DEMOKRAT Moyudan,103,59,76,71,,
DEMOKRAT,PAC / Kecamatan,3404020,PAC DEMOKRAT Minggir,11,328,1,ya,,
DEMOKRAT,Ranting / Desa,3404020,Ranting DEMOKRAT Minggir,115,443,16,12,,
DEMOKRAT,Anak Ranting / RT,3404020,Anak ranting DEMOKRAT Minggir,97,226,64,56,,
DEMOKRAT,PAC / Kecamatan,3404030,PAC DEMOKRAT Seyegan,22,634,1,tidak,,
DEMOKRAT,Ranting / Desa,3404030,Ranting DEMOKRAT Seyegan,121,897,32,30,,
DEMOKRAT,Anak Ranting / RT,3404030,Anak ranting DEMOKRAT Seyegan,187,104,132,105,,
DEMOKRAT,PAC / Kecamatan,3404040,PAC DEMOKRAT Godean,12,396,1,ya,,
DEMOKRAT,Ranting / Desa,3404040,Ranting DEMOKRAT Godean,173,592,20,13,,
DEMOKRAT,Anak Ranting / RT,3404040,Anak ranting DEMOKRAT Godean,179,279,82,21,,
DEMOKRAT,PAC / Kecamatan,3404050,PAC DEMOKRAT Gamping,8,219,1,ya,,
DEMOKRAT,Ranting / Desa,3404050,Ranting DEMOKRAT Gamping,66,426,15,9,,
DEMOKRAT,Anak Ranting / RT,3404050,Anak ranting DEMOKRAT Gamping,75,191,59,16,,
DEMOKRAT,PAC / Kecamatan,3404060,PAC DEMOKRAT Mlati,16,463,1,ya,,
DEMOKRAT,Ranting / Desa,3404060,Ranting DEMOKRAT Mlati,121,520,37,30,,
DEMOKRAT,Anak Ranting / RT,3404060,Anak ranting DEMOKRAT Mlati,147,308,154,118,,
DEMOKRAT,PAC / Kecamatan,3404070,PAC DEMOKRAT Depok,7,371,1,tidak,,
DEMOKRAT,Ranting / Desa,3404070,Ranting DEMOKRAT Depok,111,248,15,11,,
DEMOKRAT,Anak Ranting / RT,3404070,Anak ranting DEMOKRAT Depok,59,146,63,21,,
DEMOKRAT,PAC / Kecamatan,3404080,PAC DEMOKRAT Berbah,10,235,1,ya,,
DEMOKRAT,Ranting / Desa,3404080,Ranting DEMOKRAT Berbah,66,861,15,6,,
DEMOKRAT,Anak Ranting / RT,3404080,Anak ranting DEMOKRAT Berbah,51,232,59,23,,
DEMOKRAT,PAC / Kecamatan,3404090,PAC DEMOKRAT Prambanan,20,867,1,ya,,
DEMOKRAT,Ranting / Desa,3404090,Ranting DEMOKRAT Prambanan,127,1042,21,14,,
DEMOKRAT,Anak Ranting / RT,3404090,Anak ranting DEMOKRAT Prambanan,38,196,87,72,,
DEMOKRAT,PAC / Kecamatan,3404100,PAC DEMOKRAT Kalasan,20,470,1,ya,,
DEMOKRAT,Ranting / Desa,3404100,Ranting DEMOKRAT Kalasan,184,1531,30,19,,
DEMOKRAT,Anak Ranting / RT,3404100,Anak ranting DEMOKRAT Kalasan,218,330,124,96,,
DEMOKRAT,PAC / Kecamatan,3404110,PAC DEMOKRAT Ngemplak,18,135,1,ya,,
DEMOKRAT,Ranting / Desa,3404110,Ranting DEMOKRAT Ngemplak,47,51,8,6,,
DEMOKRAT,Anak Ranting / RT,3404110,Anak ranting DEMOKRAT Ngemplak,36,146,31,14,,
DEMOKRAT,PAC / Kecamatan,3404120,PAC DEMOKRAT Ngaglik,22,655,1,ya,,
DEMOKRAT,Ranting / Desa,3404120,Ranting DEMOKRAT Ngaglik,163,1504,34,33,,
DEMOKRAT,Anak Ranting / RT,3404120,Anak ranting DEMOKRAT Ngaglik,121,692,139,72,,
DEMOKRAT,PAC / Kecamatan,3404130,PAC DEMOKRAT Sleman,7,545,1,ya,,
DEMOKRAT,Ranting / Desa,3404130,Ranting DEMOKRAT Sleman,185,152,24,22,,
DEMOKRAT,Anak Ranting / RT,3404130,Anak ranting DEMOKRAT Sleman,140,142,99,33,,
DEMOKRAT,PAC / Kecamatan,3404140,PAC DEMOKRAT Tempel,7,664,1,ya,,
DEMOKRAT,Ranting / Desa,3404140,Ranting DEMOKRAT Tempel,218,415,25,19,,
DEMOKRAT,Anak Ranting / RT,3404140,Anak ranting DEMOKRAT Tempel,148,495,102,76,,
DEMOKRAT,PAC / Kecamatan,3404150,PAC DEMOKRAT Turi,11,115,1,ya,,
DEMOKRAT,Ranting / Desa,3404150,Ranting DEMOKRAT Turi,66,444,8,3,,
DEMOKRAT,Anak Ranting / RT,3404150,Anak ranting DEMOKRAT Turi,65,89,31,17,,
DEMOKRAT,PAC / Kecamatan,3404160,PAC DEMOKRAT Pakem,8,1093,1,ya,,
DEMOKRAT,Ranting / Desa,3404160,Ranting DEMOKRAT Pakem,272,507,36,22,,
DEMOKRAT,Anak Ranting / RT,3404160,Anak ranting DEMOKRAT Pakem,300,742,147,128,,
DEMOKRAT,PAC / Kecamatan,3404170,PAC DEMOKRAT Cangkringan,10,682,1,ya,,
DEMOKRAT,Ranting / Desa,3404170,Ranting DEMOKRAT Cangkringan,87,653,21,15,,
DEMOKRAT,Anak Ranting / RT,3404170,Anak ranting DEMOKRAT Cangkringan,70,304,87,53,,
PAN,DPD II / DPC,,DPC PAN Kabupaten,54,809,1,ya,,
PAN,PAC / Kecamatan,3404010,PAC PAN Moyudan,12,145,1,ya,,
PAN,Ranting / Desa,3404010,Ranting PAN Moyudan,145,370,19,17,,
PAN,Anak Ranting / RT,3404010,Anak ranting PAN Moyudan,146,272,76,70,,
PAN,PAC / Kecamatan,3404020,PAC PAN Minggir,13,231,1,ya,,
PAN,Ranting / Desa,3404020,Ranting PAN Minggir,38,403,16,8,,
PAN,Anak Ranting / RT,3404020,Anak ranting PAN Minggir,33,315,64,48,,
PAN,PAC / Kecamatan,3404030,PAC PAN Seyegan,8,293,1,ya,,
PAN,Ranting / Desa,3404030,Ranting PAN Seyegan,244,457,32,31,,
PAN,Anak Ranting / RT,3404030,Anak ranting PAN Seyegan,211,360,132,115,,
PAN,PAC / Kecamatan,3404040,PAC PAN Godean,19,764,1,ya,,
PAN,Ranting / Desa,3404040,Ranting PAN Godean,66,1210,20,9,,
PAN,Anak Ranting / RT,3404040,Anak ranting PAN Godean,155,289,82,43,,
PAN,PAC / Kecamatan,3404050,PAC PAN Gamping,14,195,1,ya,,
PAN,Ranting / Desa,3404050,Ranting PAN Gamping,32,742,15,11,,
PAN,Anak Ranting / RT,3404050,Anak ranting PAN Gamping,29,280,59,27,,
PAN,PAC / Kecamatan,3404060,PAC PAN Mlati,15,296,1,ya,,
PAN,Ranting / Desa,3404060,Ranting PAN Mlati,169,2239,37,28,,
PAN,Anak Ranting / RT,3404060,Anak ranting PAN Mlati,269,213,154,127,,
PAN,PAC / Kecamatan,3404070,PAC PAN Depok,12,154,1,ya,,
PAN,Ranting / Desa,3404070,Ranting PAN Depok,65,720,15,7,,
PAN,Anak Ranting / RT,3404070,Anak ranting PAN Depok,137,122,63,31,,
PAN,PAC / Kecamatan,3404080,PAC PAN Berbah,9,306,1,ya,,
PAN,Ranting / Desa,3404080,Ranting PAN Berbah,40,98,15,13,,
PAN,Anak Ranting / RT,3404080,Anak ranting PAN Berbah,125,139,59,41,,
PAN,PAC / Kecamatan,3404090,PAC PAN Prambanan,12,667,1,ya,,
PAN,Ranting / Desa,3404090,Ranting PAN Prambanan,63,1076,21,12,,
PAN,Anak Ranting / RT,3404090,Anak ranting PAN Prambanan,28,102,87,18,,
PAN,PAC / Kecamatan,3404100,PAC PAN Kalasan,20,761,1,ya,,
PAN,Ranting / Desa,3404100,Ranting PAN Kalasan,221,411,30,17,,
PAN,Anak Ranting / RT,3404100,Anak ranting PAN Kalasan,94,66,124,103,,
PAN,PAC / Kecamatan,3404110,PAC PAN Ngemplak,18,40,1,tidak,,
PAN,Ranting / Desa,3404110,Ranting PAN Ngemplak,42,159,8,6,,
PAN,Anak Ranting / RT,3404110,Anak ranting PAN Ngemplak,10,60,31,27,,
PAN,PAC / Kecamatan,3404120,PAC PAN Ngaglik,19,850,1,ya,,
PAN,Ranting / Desa,3404120,Ranting PAN Ngaglik,201,842,34,30,,
PAN,Anak Ranting / RT,3404120,Anak ranting PAN Ngaglik,71,490,139,93,,
PAN,PAC / Kecamatan,3404130,PAC PAN Sleman,20,178,1,ya,,
PAN,Ranting / Desa,3404130,Ranting PAN Sleman,54,1233,24,23,,
PAN,Anak Ranting / RT,3404130,Anak ranting PAN Sleman,76,134,99,75,,
PAN,PAC / Kecamatan,3404140,PAC PAN Tempel,18,241,1,ya,,
PAN,Ranting / Desa,3404140,Ranting PAN Tempel,204,1122,25,19,,
PAN,Anak Ranting / RT,3404140,Anak ranting PAN Tempel,102,384,102,76,,
PAN,PAC / Kecamatan,3404150,PAC PAN Turi,10,38,1,ya,,
PAN,Ranting / Desa,3404150,Ranting PAN Turi,31,396,8,6,,
PAN,Anak Ranting / RT,3404150,Anak ranting PAN Turi,58,57,31,24,,
PAN,PAC / Kecamatan,3404160,PAC PAN Pakem,20,417,1,ya,,
PAN,Ranting / Desa,3404160,Ranting PAN Pakem,243,1865,36,29,,
PAN,Anak Ranting / RT,3404160,Anak ranting PAN Pakem,155,478,147,115,,
PAN,PAC / Kecamatan,3404170,PAC PAN Cangkringan,19,786,1,tidak,,
PAN,Ranting / Desa,3404170,Ranting PAN Cangkringan,159,275,21,7,,
PAN,Anak Ranting / RT,3404170,Anak ranting PAN Cangkringan,118,169,87,75,,
PPP,DPD II / DPC,,DPC PPP Kabupaten,43,254,1,ya,,
PPP,PAC / Kecamatan,3404010,PAC PPP Moyudan,22,582,1,tidak,,
PPP,Ranting / Desa,3404010,Ranting PPP Moyudan,91,1130,19,9,,
PPP,Anak Ranting / RT,3404010,Anak ranting PPP Moyudan,54,263,76,40,,
PPP,PAC / Kecamatan,3404020,PAC PPP Minggir,14,493,1,tidak,,
PPP,Ranting / Desa,3404020,Ranting PPP Minggir,47,897,16,15,,
PPP,Anak Ranting / RT,3404020,Anak ranting PPP Minggir,59,245,64,24,,
PPP,PAC / Kecamatan,3404030,PAC PPP Seyegan,11,344,1,ya,,
PPP,Ranting / Desa,3404030,Ranting PPP Seyegan,164,1588,32,28,,
PPP,Anak Ranting / RT,3404030,Anak ranting PPP Seyegan,180,415,132,100,,
PPP,PAC / Kecamatan,3404040,PAC PPP Godean,18,196,1,ya,,
PPP,Ranting / Desa,3404040,Ranting PPP Godean,91,604,20,9,,
PPP,Anak Ranting / RT,3404040,Anak ranting PPP Godean,66,140,82,18,,
PPP,PAC / Kecamatan,3404050,PAC PPP Gamping,12,360,1,ya,,
PPP,Ranting / Desa,3404050,Ranting PPP Gamping,31,791,15,6,,
PPP,Anak Ranting / RT,3404050,Anak ranting PPP Gamping,28,195,59,21,,
PPP,PAC / Kecamatan,3404060,PAC PPP Mlati,15,378,1,ya,,
PPP,Ranting / Desa,3404060,Ranting PPP Mlati,74,455,37,19,,
PPP,Anak Ranting / RT,3404060,Anak ranting PPP Mlati,236,236,154,54,,
PPP,PAC / Kecamatan,3404070,PAC PPP Depok,19,144,1,ya,,
PPP,Ranting / Desa,3404070,Ranting PPP Depok,87,947,15,8,,
PPP,Anak Ranting / RT,3404070,Anak ranting PPP Depok,88,184,63,50,,
PPP,PAC / Kecamatan,3404080,PAC PPP Berbah,12,533,1,ya,,
PPP,Ranting / Desa,3404080,Ranting PPP Berbah,60,150,15,8,,
PPP,Anak Ranting / RT,3404080,Anak ranting PPP Berbah,73,256,59,38,,
PPP,PAC / Kecamatan,3404090,PAC PPP Prambanan,18,141,1,ya,,
PPP,Ranting / Desa,3404090,Ranting PPP Prambanan,120,386,21,8,,
PPP,Anak Ranting / RT,3404090,Anak ranting PPP Prambanan,47,348,87,72,,
PPP,PAC / Kecamatan,3404100,PAC PPP Kalasan,15,1184,1,ya,,
PPP,Ranting / Desa,3404100,Ranting PPP Kalasan,238,1653,30,29,,
PPP,Anak Ranting / RT,3404100,Anak ranting PPP Kalasan,270,459,124,40,,
PPP,PAC / Kecamatan,3404110,PAC PPP Ngemplak,8,165,1,ya,,
PPP,Ranting / Desa,3404110,Ranting PPP Ngemplak,64,360,8,5,,
PPP,Anak Ranting / RT,3404110,Anak ranting PPP Ngemplak,46,96,31,27,,
PPP,PAC / Kecamatan,3404120,PAC PPP Ngaglik,20,1107,1,tidak,,
PPP,Ranting / Desa,3404120,Ranting PPP Ngaglik,180,303,34,19,,
PPP,Anak Ranting / RT,3404120,Anak ranting PPP Ngaglik,94,707,139,37,,
PPP,PAC / Kecamatan,3404130,PAC PPP Sleman,10,544,1,ya,,
PPP,Ranting / Desa,3404130,Ranting PPP Sleman,146,248,24,20,,
PPP,Anak Ranting / RT,3404130,Anak ranting PPP Sleman,97,174,99,33,,
PPP,PAC / Kecamatan,3404140,PAC PPP Tempel,12,152,1,ya,,
PPP,Ranting / Desa,3404140,Ranting PPP Tempel,163,577,25,10,,
PPP,Anak Ranting / RT,3404140,Anak ranting PPP Tempel,174,483,102,72,,
PPP,PAC / Kecamatan,3404150,PAC PPP Turi,7,96,1,ya,,
PPP,Ranting / Desa,3404150,Ranting PPP Turi,42,176,8,4,,
PPP,Anak Ranting / RT,3404150,Anak ranting PPP Turi,60,148,31,6,,
PPP,PAC / Kecamatan,3404160,PAC PPP Pakem,22,988,1,ya,,
PPP,Ranting / Desa,3404160,Ranting PPP Pakem,90,477,36,32,,
PPP,Anak Ranting / RT,3404160,Anak ranting PPP Pakem,49,184,147,40,,
PPP,PAC / Kecamatan,3404170,PAC PPP Cangkringan,6,452,1,tidak,,
PPP,Ranting / Desa,3404170,Ranting PPP Cangkringan,52,652,21,8,,
PPP,Anak Ranting / RT,3404170,Anak ranting PPP Cangkringan,151,351,87,75,,
PSI,DPD II / DPC,,DPC PSI Kabupaten,49,2166,1,ya,,
PSI,PAC / Kecamatan,3404010,PAC PSI Moyudan,9,577,1,ya,,
PSI,Ranting / Desa,3404010,Ranting PSI Moyudan,171,1695,19,19,,
PSI,Anak Ranting / RT,3404010,Anak ranting PSI Moyudan,228,112,76,76,,
PSI,PAC / Kecamatan,3404020,PAC PSI Minggir,20,864,1,ya,,
PSI,Ranting / Desa,3404020,Ranting PSI Minggir,144,1419,16,16,,
PSI,Anak Ranting / RT,3404020,Anak ranting PSI Minggir,192,435,64,64,,
PSI,PAC / Kecamatan,3404030,PAC PSI Seyegan,9,1483,1,ya,,
PSI,Ranting / Desa,3404030,Ranting PSI Seyegan,288,515,32,32,,
PSI,Anak Ranting / RT,3404030,Anak ranting PSI Seyegan,396,880,132,132,,
PSI,PAC / Kecamatan,3404040,PAC PSI Godean,15,1052,1,ya,,
PSI,Ranting / Desa,3404040,Ranting PSI Godean,180,1652,20,20,,
PSI,Anak Ranting / RT,3404040,Anak ranting PSI Godean,246,350,82,82,,
PSI,PAC / Kecamatan,3404050,PAC PSI Gamping,9,144,1,ya,,
PSI,Ranting / Desa,3404050,Ranting PSI Gamping,135,684,15,15,,
PSI,Anak Ranting / RT,3404050,Anak ranting PSI Gamping,177,69,59,59,,
PSI,PAC / Kecamatan,3404060,PAC PSI Mlati,14,1938,1,ya,,
PSI,Ranting / Desa,3404060,Ranting PSI Mlati,333,2783,37,37,,
PSI,Anak Ranting / RT,3404060,Anak ranting PSI Mlati,462,1125,154,154,,
PSI,PAC / Kecamatan,3404070,PAC PSI Depok,20,125,1,ya,,
PSI,Ranting / Desa,3404070,Ranting PSI Depok,135,859,15,15,,
PSI,Anak Ranting / RT,3404070,Anak ranting PSI Depok,189,449,63,63,,
PSI,PAC / Kecamatan,3404080,PAC PSI Berbah,9,171,1,ya,,
PSI,Ranting / Desa,3404080,Ranting PSI Berbah,135,906,15,15,,
PSI,Anak Ranting / RT,3404080,Anak ranting PSI Berbah,177,337,59,59,,
PSI,PAC / Kecamatan,3404090,PAC PSI Prambanan,9,277,1,ya,,
PSI,Ranting / Desa,3404090,Ranting PSI Prambanan,189,263,21,21,,
PSI,Anak Ranting / RT,3404090,Anak ranting PSI Prambanan,261,223,87,87,,
PSI,PAC / Kecamatan,3404100,PAC PSI Kalasan,10,1147,1,ya,,
PSI,Ranting / Desa,3404100,Ranting PSI Kalasan,270,2345,30,30,,
PSI,Anak Ranting / RT,3404100,Anak ranting PSI Kalasan,372,227,124,124,,
PSI,PAC / Kecamatan,3404110,PAC PSI Ngemplak,21,381,1,ya,,
PSI,Ranting / Desa,3404110,Ranting PSI Ngemplak,72,246,8,8,,
PSI,Anak Ranting / RT,3404110,Anak ranting PSI Ngemplak,93,223,31,31,,
PSI,PAC / Kecamatan,3404120,PAC PSI Ngaglik,18,1425,1,ya,,
PSI,Ranting / Desa,3404120,Ranting PSI Ngaglik,306,2279,34,34,,
PSI,Anak Ranting / RT,3404120,Anak ranting PSI Ngaglik,417,670,139,139,,
PSI,PAC / Kecamatan,3404130,PAC PSI Sleman,9,668,1,ya,,
PSI,Ranting / Desa,3404130,Ranting PSI Sleman,216,1483,24,24,,
PSI,Anak Ranting / RT,3404130,Anak ranting PSI Sleman,297,276,99,99,,
PSI,PAC / Kecamatan,3404140,PAC PSI Tempel,21,755,1,ya,,
PSI,Ranting / Desa,3404140,Ranting PSI Tempel,225,1747,25,25,,
PSI,Anak Ranting / RT,3404140,Anak ranting PSI Tempel,306,94,102,102,,
PSI,PAC / Kecamatan,3404150,PAC PSI Turi,9,236,1,ya,,
PSI,Ranting / Desa,3404150,Ranting PSI Turi,72,505,8,8,,
PSI,Anak Ranting / RT,3404150,Anak ranting PSI Turi,93,82,31,31,,
PSI,PAC / Kecamatan,3404160,PAC PSI Pakem,16,1745,1,ya,,
PSI,Ranting / Desa,3404160,Ranting PSI Pakem,324,2140,36,36,,
PSI,Anak Ranting / RT,3404160,Anak ranting PSI Pakem,441,723,147,147,,
PSI,PAC / Kecamatan,3404170,PAC PSI Cangkringan,16,926,1,ya,,
PSI,Ranting / Desa,3404170,Ranting PSI Cangkringan,189,1115,21,21,,
PSI,Anak Ranting / RT,3404170,Anak ranting PSI Cangkringan,261,545,87,87,,
